Class,Train,Validation,Test,Expanded Test
0,8.0,2.0,5.0,374.0
1,8.0,2.0,5.0,79.0
2,8.0,2.0,5.0,82.0
3,8.0,2.0,5.0,29.0
4,8.0,2.0,5.0,14.0
5,8.0,2.0,5.0,18.0
6,8.0,2.0,5.0,47.0
7,8.0,2.0,5.0,57.0
8,8.0,2.0,5.0,19.0
9,8.0,2.0,5.0,102.0
10,4.0,2.0,3.0,3.0
11,3.0,1.0,3.0,3.0
12,8.0,2.0,5.0,9.0
13,5.0,2.0,3.0,3.0
14,5.0,2.0,4.0,4.0
